Ticker,Date,Open,High,Low,Close,Adj Close,Volume
META,8/31/16,125.599998,126.220001,125.099998,126.120003,125.986328,14200600
META,9/1/16,126.379997,126.629997,125.599998,126.169998,126.03627,13536100
META,9/2/16,126.849998,126.860001,126,126.510002,126.375916,12118800
META,9/6/16,126.669998,129.940002,126.470001,129.729996,129.592499,26278400
META,9/7/16,130.039993,131.979996,129.949997,131.050003,130.911102,27990800
META,9/8/16,130.919998,131.080002,129.809998,130.270004,130.131927,15676600
META,9/9/16,129.710007,129.949997,127.099998,127.099998,126.965286,27100700
META,9/12/16,125.959999,128.759995,125.75,128.690002,128.553604,21252800
META,9/13/16,128.029999,128.350006,126.660004,127.209999,127.075172,18016200
META,9/14/16,126.889999,128.800003,126.889999,127.769997,127.634575,15691100
META,9/15/16,127.980003,129.100006,127.669998,128.350006,128.213974,15077200
META,9/16/16,128.199997,129.179993,128.199997,129.070007,128.933212,24119200
META,9/19/16,129.910004,129.940002,128.259995,128.649994,128.513641,14958800
META,9/20/16,128.649994,129.169998,128.029999,128.639999,128.503662,11083800
META,9/21/16,129.130005,130.009995,128.389999,129.940002,129.802277,14068300
META,9/22/16,130.5,130.729996,129.559998,130.080002,129.942139,15538300
META,9/23/16,127.559998,128.600006,127.300003,127.959999,127.824379,28326300
META,9/26/16,127.370003,128.160004,126.800003,127.309998,127.175064,15064900
META,9/27/16,127.610001,129.009995,127.43,128.690002,128.553604,15637100
META,9/28/16,129.210007,129.470001,128.399994,129.229996,129.093033,12047600
META,9/29/16,129.179993,129.289993,127.550003,128.089996,127.954231,14532200
META,9/30/16,128.029999,128.589996,127.449997,128.270004,128.134048,18402900
META,10/3/16,128.380005,129.089996,127.800003,128.770004,128.63353,13156900
META,10/4/16,129.169998,129.279999,127.550003,128.190002,128.054138,14307500
META,10/5/16,128.25,128.800003,127.830002,128.470001,128.333832,12386800
META,10/6/16,128.429993,129.059998,128.080002,128.740005,128.603561,11682700
META,10/7/16,129.039993,129.25,128.330002,128.990005,128.853287,12804400
META,10/10/16,129.679993,130.699997,129.199997,130.240005,130.101959,15138700
META,10/11/16,130.229996,130.639999,128.229996,128.880005,128.743408,17537900
META,10/12/16,129.009995,129.660004,128.460007,129.050003,128.913223,11073000
META,10/13/16,128.210007,128.25,126.75,127.82,127.684525,17139300
META,10/14/16,128.490005,128.949997,127.580002,127.879997,127.744461,13345300
META,10/17/16,128.199997,128.470001,127.32,127.540001,127.404823,11351700
META,10/18/16,128.679993,129.389999,128.009995,128.570007,128.433731,13504000
META,10/19/16,128.740005,130.470001,128.600006,130.110001,129.972092,16752300
META,10/20/16,130.070007,130.660004,129.5,130,129.862213,13167500
META,10/21/16,129.779999,132.130005,129.699997,132.070007,131.930023,19088800
META,10/24/16,132.720001,133.410004,132.149994,133.279999,133.138733,17470200
META,10/25/16,133.5,133.5,132.220001,132.289993,132.14978,13336800
META,10/26/16,131.639999,132.259995,130.940002,131.039993,130.901108,13084700
META,10/27/16,131.740005,131.800003,129.270004,129.690002,129.552551,16741400
META,10/28/16,130.5,132.970001,129.929993,131.289993,131.150833,24545500
META,10/31/16,132.009995,132.119995,130.880005,130.990005,130.851166,15669000
META,11/1/16,131.410004,131.940002,128.649994,129.5,129.362747,22077800
META,11/2/16,130.229996,130.229996,126.279999,127.169998,127.03521,39640900
META,11/3/16,122,123.279999,119.5,120,119.87281,63766300
META,11/4/16,119.589996,121.93,119.25,120.75,120.622017,30545500
META,11/7/16,122.830002,123.209999,121.349998,122.150002,122.020538,23008900
META,11/8/16,122.029999,124.610001,121.540001,124.220001,124.088341,19460800
META,11/9/16,121.5,123.809998,120.510002,123.18,123.049446,31916000
META,11/10/16,123.93,124.18,115.269997,120.800003,120.671967,67846700
META,11/11/16,119.529999,120.699997,118.150002,119.019997,118.893852,32840100
META,11/14/16,119.129997,119.129997,113.550003,115.080002,114.958031,51377000
META,11/15/16,116.730003,118.489998,115.830002,117.199997,117.075775,34681400
META,11/16/16,114.480003,117.879997,114.209999,116.339996,116.21669,32397900
META,11/17/16,116.809998,117.790001,116.010002,117.790001,117.665154,18597800
META,11/18/16,118.389999,119.129997,116.839996,117.019997,116.895966,22879300
META,11/21/16,118.199997,121.949997,117.800003,121.769997,121.64093,35415400
META,11/22/16,122.400002,122.980003,120.900002,121.470001,121.341255,26089200
META,11/23/16,121.230003,121.309998,119.940002,120.839996,120.711922,15672100
META,11/25/16,121.010002,121.139999,120.07,120.379997,120.252411,8658600
META,11/28/16,120.120003,121.690002,119.82,120.410004,120.282379,18101300
META,11/29/16,120.57,122.099998,120.400002,120.870003,120.741898,18891000
META,11/30/16,120.32,121.790001,117.949997,118.419998,118.294487,30188900
